slot_15m,fecha_local,hora_slot,dia_semana,mes,es_fin_semana,sensor_flujo_total,veripax_total,veripax_menos_0,veripax_0_60,veripax_60_120,veripax_120_180,veripax_180_mas,veripax_sin_sobt,vuelos_programados,pasajeros_programados,sensor_day_complete
2025-12-01 00:00:00,2025-12-01,00:00:00,0,12,0,108.0,0,0,0,0,0,0,0,1,132.0,1
2025-12-01 00:15:00,2025-12-01,00:15:00,0,12,0,129.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 00:30:00,2025-12-01,00:30:00,0,12,0,69.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 00:45:00,2025-12-01,00:45:00,0,12,0,27.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 01:00:00,2025-12-01,01:00:00,0,12,0,28.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 01:15:00,2025-12-01,01:15:00,0,12,0,47.0,0,0,0,0,0,0,0,1,166.0,1
2025-12-01 01:30:00,2025-12-01,01:30:00,0,12,0,53.0,0,0,0,0,0,0,0,2,314.0,1
2025-12-01 01:45:00,2025-12-01,01:45:00,0,12,0,60.0,0,0,0,0,0,0,0,1,166.0,1
2025-12-01 02:00:00,2025-12-01,02:00:00,0,12,0,77.0,0,0,0,0,0,0,0,1,173.0,1
2025-12-01 02:15:00,2025-12-01,02:15:00,0,12,0,80.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 02:30:00,2025-12-01,02:30:00,0,12,0,57.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 02:45:00,2025-12-01,02:45:00,0,12,0,74.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 03:00:00,2025-12-01,03:00:00,0,12,0,65.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 03:15:00,2025-12-01,03:15:00,0,12,0,90.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 03:30:00,2025-12-01,03:30:00,0,12,0,79.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 03:45:00,2025-12-01,03:45:00,0,12,0,72.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 04:00:00,2025-12-01,04:00:00,0,12,0,86.0,0,0,0,0,0,0,0,1,164.0,1
2025-12-01 04:15:00,2025-12-01,04:15:00,0,12,0,136.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 04:30:00,2025-12-01,04:30:00,0,12,0,137.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 04:45:00,2025-12-01,04:45:00,0,12,0,151.0,0,0,0,0,0,0,0,1,167.0,1
2025-12-01 05:00:00,2025-12-01,05:00:00,0,12,0,193.0,0,0,0,0,0,0,0,1,167.0,1
2025-12-01 05:15:00,2025-12-01,05:15:00,0,12,0,277.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 05:30:00,2025-12-01,05:30:00,0,12,0,297.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 05:45:00,2025-12-01,05:45:00,0,12,0,292.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 06:00:00,2025-12-01,06:00:00,0,12,0,337.0,0,0,0,0,0,0,0,2,285.0,1
2025-12-01 06:15:00,2025-12-01,06:15:00,0,12,0,384.0,0,0,0,0,0,0,0,1,186.0,1
2025-12-01 06:30:00,2025-12-01,06:30:00,0,12,0,424.0,0,0,0,0,0,0,0,1,271.0,1
2025-12-01 06:45:00,2025-12-01,06:45:00,0,12,0,404.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 07:00:00,2025-12-01,07:00:00,0,12,0,299.0,0,0,0,0,0,0,0,5,642.0,1
2025-12-01 07:15:00,2025-12-01,07:15:00,0,12,0,344.0,0,0,0,0,0,0,0,5,559.0,1
2025-12-01 07:30:00,2025-12-01,07:30:00,0,12,0,300.0,0,0,0,0,0,0,0,5,682.0,1
2025-12-01 07:45:00,2025-12-01,07:45:00,0,12,0,345.0,0,0,0,0,0,0,0,3,432.0,1
2025-12-01 08:00:00,2025-12-01,08:00:00,0,12,0,249.0,0,0,0,0,0,0,0,7,962.0,1
2025-12-01 08:15:00,2025-12-01,08:15:00,0,12,0,177.0,0,0,0,0,0,0,0,2,305.0,1
2025-12-01 08:30:00,2025-12-01,08:30:00,0,12,0,168.0,0,0,0,0,0,0,0,4,637.0,1
2025-12-01 08:45:00,2025-12-01,08:45:00,0,12,0,171.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 09:00:00,2025-12-01,09:00:00,0,12,0,213.0,0,0,0,0,0,0,0,4,829.0,1
2025-12-01 09:15:00,2025-12-01,09:15:00,0,12,0,193.0,0,0,0,0,0,0,0,1,167.0,1
2025-12-01 09:30:00,2025-12-01,09:30:00,0,12,0,167.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 09:45:00,2025-12-01,09:45:00,0,12,0,152.0,0,0,0,0,0,0,0,1,138.0,1
2025-12-01 10:00:00,2025-12-01,10:00:00,0,12,0,190.0,0,0,0,0,0,0,0,3,344.0,1
2025-12-01 10:15:00,2025-12-01,10:15:00,0,12,0,211.0,0,0,0,0,0,0,0,1,87.0,1
2025-12-01 10:30:00,2025-12-01,10:30:00,0,12,0,185.0,0,0,0,0,0,0,0,1,166.0,1
2025-12-01 10:45:00,2025-12-01,10:45:00,0,12,0,219.0,0,0,0,0,0,0,0,2,349.0,1
2025-12-01 11:00:00,2025-12-01,11:00:00,0,12,0,256.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 11:15:00,2025-12-01,11:15:00,0,12,0,279.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 11:30:00,2025-12-01,11:30:00,0,12,0,300.0,0,0,0,0,0,0,0,1,179.0,1
2025-12-01 11:45:00,2025-12-01,11:45:00,0,12,0,221.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 12:00:00,2025-12-01,12:00:00,0,12,0,237.0,0,0,0,0,0,0,0,4,651.0,1
2025-12-01 12:15:00,2025-12-01,12:15:00,0,12,0,288.0,0,0,0,0,0,0,0,1,157.0,1
2025-12-01 12:30:00,2025-12-01,12:30:00,0,12,0,235.0,0,0,0,0,0,0,0,1,159.0,1
2025-12-01 12:45:00,2025-12-01,12:45:00,0,12,0,226.0,0,0,0,0,0,0,0,1,158.0,1
2025-12-01 13:00:00,2025-12-01,13:00:00,0,12,0,223.0,0,0,0,0,0,0,0,3,529.0,1
2025-12-01 13:15:00,2025-12-01,13:15:00,0,12,0,242.0,0,0,0,0,0,0,0,3,476.0,1
2025-12-01 13:30:00,2025-12-01,13:30:00,0,12,0,289.0,0,0,0,0,0,0,0,5,854.0,1
2025-12-01 13:45:00,2025-12-01,13:45:00,0,12,0,289.0,0,0,0,0,0,0,0,1,113.0,1
2025-12-01 14:00:00,2025-12-01,14:00:00,0,12,0,348.0,0,0,0,0,0,0,0,3,582.0,1
2025-12-01 14:15:00,2025-12-01,14:15:00,0,12,0,388.0,0,0,0,0,0,0,0,3,332.0,1
2025-12-01 14:30:00,2025-12-01,14:30:00,0,12,0,235.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 14:45:00,2025-12-01,14:45:00,0,12,0,240.0,0,0,0,0,0,0,0,1,127.0,1
2025-12-01 15:00:00,2025-12-01,15:00:00,0,12,0,200.0,0,0,0,0,0,0,0,4,772.0,1
2025-12-01 15:15:00,2025-12-01,15:15:00,0,12,0,181.0,0,0,0,0,0,0,0,2,346.0,1
2025-12-01 15:30:00,2025-12-01,15:30:00,0,12,0,230.0,0,0,0,0,0,0,0,2,371.0,1
2025-12-01 15:45:00,2025-12-01,15:45:00,0,12,0,243.0,0,0,0,0,0,0,0,1,195.0,1
2025-12-01 16:00:00,2025-12-01,16:00:00,0,12,0,229.0,0,0,0,0,0,0,0,5,803.0,1
2025-12-01 16:15:00,2025-12-01,16:15:00,0,12,0,221.0,0,0,0,0,0,0,0,2,298.0,1
2025-12-01 16:30:00,2025-12-01,16:30:00,0,12,0,277.0,0,0,0,0,0,0,0,1,159.0,1
2025-12-01 16:45:00,2025-12-01,16:45:00,0,12,0,285.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 17:00:00,2025-12-01,17:00:00,0,12,0,205.0,0,0,0,0,0,0,0,1,267.0,1
2025-12-01 17:15:00,2025-12-01,17:15:00,0,12,0,178.0,0,0,0,0,0,0,0,3,546.0,1
2025-12-01 17:30:00,2025-12-01,17:30:00,0,12,0,121.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 17:45:00,2025-12-01,17:45:00,0,12,0,121.0,0,0,0,0,0,0,0,2,489.0,1
2025-12-01 18:00:00,2025-12-01,18:00:00,0,12,0,186.0,0,0,0,0,0,0,0,2,460.0,1
2025-12-01 18:15:00,2025-12-01,18:15:00,0,12,0,168.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 18:30:00,2025-12-01,18:30:00,0,12,0,193.0,0,0,0,0,0,0,0,2,151.0,1
2025-12-01 18:45:00,2025-12-01,18:45:00,0,12,0,181.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 19:00:00,2025-12-01,19:00:00,0,12,0,150.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 19:15:00,2025-12-01,19:15:00,0,12,0,234.0,0,0,0,0,0,0,0,1,178.0,1
2025-12-01 19:30:00,2025-12-01,19:30:00,0,12,0,175.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 19:45:00,2025-12-01,19:45:00,0,12,0,245.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 20:00:00,2025-12-01,20:00:00,0,12,0,231.0,0,0,0,0,0,0,0,1,151.0,1
2025-12-01 20:15:00,2025-12-01,20:15:00,0,12,0,232.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 20:30:00,2025-12-01,20:30:00,0,12,0,253.0,0,0,0,0,0,0,0,1,105.0,1
2025-12-01 20:45:00,2025-12-01,20:45:00,0,12,0,240.0,0,0,0,0,0,0,0,1,138.0,1
2025-12-01 21:00:00,2025-12-01,21:00:00,0,12,0,318.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 21:15:00,2025-12-01,21:15:00,0,12,0,418.0,0,0,0,0,0,0,0,6,1012.0,1
2025-12-01 21:30:00,2025-12-01,21:30:00,0,12,0,299.0,0,0,0,0,0,0,0,7,1664.0,1
2025-12-01 21:45:00,2025-12-01,21:45:00,0,12,0,270.0,0,0,0,0,0,0,0,4,761.0,1
2025-12-01 22:00:00,2025-12-01,22:00:00,0,12,0,281.0,0,0,0,0,0,0,0,0,0.0,1
2025-12-01 22:15:00,2025-12-01,22:15:00,0,12,0,197.0,0,0,0,0,0,0,0,1,127.0,1
2025-12-01 22:30:00,2025-12-01,22:30:00,0,12,0,250.0,0,0,0,0,0,0,0,1,288.0,1
2025-12-01 22:45:00,2025-12-01,22:45:00,0,12,0,261.0,0,0,0,0,0,0,0,4,690.0,1
2025-12-01 23:00:00,2025-12-01,23:00:00,0,12,0,100.0,0,0,0,0,0,0,0,3,434.0,1
2025-12-01 23:15:00,2025-12-01,23:15:00,0,12,0,93.0,0,0,0,0,0,0,0,4,688.0,1
2025-12-01 23:30:00,2025-12-01,23:30:00,0,12,0,93.0,0,0,0,0,0,0,0,3,558.0,1
2025-12-01 23:45:00,2025-12-01,23:45:00,0,12,0,122.0,0,0,0,0,0,0,0,1,149.0,1
2025-12-02 00:00:00,2025-12-02,00:00:00,1,12,0,134.0,0,0,0,0,0,0,0,1,141.0,1
